"Payment methods","Zahlunsarten"
"We can't find any results matching the selection.","Es wurden keine Ergebnisse gefunden, die der Auswahl entsprechen."
"Cart Subtotal","Zwischensumme"
"Please select and accept your Cookies Group","Bitte wählen und akzeptieren Sie Ihre Cookie Gruppe"
"You saved your cookie settings!","Ihre Cookie Einstellungen wurden gespeichert!"
"Edit account information","Accountdetails bearbeiten"
"My product Reviews","Meine Produktrezensionen"
"Order success","Bestellung erfolgreich"
"Order Success","Bestellung erfolgreich"
"Thank you for placing your order","Vielen Dank für Ihre Bestellung"
"Your order # is: <span>%1</span>.","Ihre Bestellung # ist: <span>%1</span>."
"Your order # is: %1.","Ihre Bestellung # ist: %1"
"reviews","Reviews"
"Add Review","Review hinzügen"
"Price - Ascending","Preis - Aufsteigend"
"Preis - Descending","Preis - Absteigend"
"PPosition - Ascending","Position - Aufsteigend"
"Save Billing Address","Rechnungsadresse speichern"
"My account","Mein Account"
"Edit address","Adressen bearbeiten"
"Edit account information","Accountdetails bearbeiten"
"My orders","Meine Bestellungen"
"My product Reviews","Meine Produktrezensionen"
"Order details","Bestelldetails"
"Show Active Users","Aktive Benutzer anzeigen"
"Sort by:","Sortiert nach:"
"The maximum you may purchase is %1.","Sie können maximal %1 Stück bestellen."
"My Addresses","Meine Adressen"
"More filters","Mehr Filter"
"Less filters","Weniger Filter"
