"%1 is the only product matching your '%2' search.","%1 est le seul produit correspondant à votre recherche pour '%2'"
"Additional fields","Champs supplémentaires"
"Cart item edit icon","Icône de modification d'article du panier"
"Cart Item Quantity","Quantité d'articles du panier"
"Cart item remove icon","Icône de suppression d'article du panier"
"Cart item wishlist icon","Icône de liste de souhaits de l'article du panier"
"Checkout Progress","Progression de la commande"
"Dropdown dialog","Dialogue déroulant"
"Items per page","Articles par page"
"Name and surname","Nom et prénom"
"Please log in to continue.","Veuillez vous connecter pour continuer."
"Only integers greater than or equal to 0 are allowed.","Seuls les entiers supérieurs ou égaux à 0 sont autorisés."
"Quantity of product added to the cart","Quantité de produit ajoutée au panier"
"Rated %1 out of %2 stars","Évalué à %1 sur %2 étoiles"
"Skip to main content","Aller au contenu principal"
"Skip to search","Aller à la recherche"
"The order was not successful!","La commande n'a pas abouti!"
"Update wishlist","Mise à jour de la liste de souhaits"
