"My account","Mon compte"
"Edit address","Modifier l'adresse"
"Edit account information","Modifier les informations du compte"
"My orders","Mes commandes"
"My product Reviews","Mes avis sur les produits"
"Order details","Détails de la commande"
"Payment methods","Méthodes de paiement"
"View and Edit Cart","Ajouter au panier"
"Cart Subtotal","Sous-total"
"Be the first to review this product","Écrire la première critique"
"Thank you for placing your order","Merci de votre commande"
"Your order # is: <span>%1</span>.","Votre numéro de commande est : <span>%1</span>."
"Your order # is: %1.","Votre numéro de commande est : %1"
"reviews","avis"
"Add Review","Ajouter un avis"
"Price - Ascending","Prix - Croissant"
"Preis - Absteigend","Prix - Décroissant"
"Position - Aufsteigend","Position - Croissant"
"Bestseller Score By Amount - Descending","Score de best-seller per montant - décroissant"
"Save Billing Address","Sauvegarder l'adresse de facturation"
"Show Password","Afficher le mot de passe"
"Order success","Commande réussie"
"Show all products","Afficher tous les produits"
"Thank you!","Merci!"
"Clear all filters","Effacer tous les filtres"
"Free shipping applied","Livraison gratuite appliquée"
"Firstname","Prénom"
"Lastname","Nom"
"Housenumber","Numéro de maison"
"All results","Tous les résultats"
Pages,Pages
"Pages results","Résultats des pages"
"Recommended products","Cela pourrait être utile"
"Please select and accept your Cookies Group","Veuillez sélectionner et accepter votre groupe de cookies"
"You saved your cookie settings!","Vous avez enregistré vos paramètres de cookies!"
