"%1 is the only product matching your '%2' search.","%1 is het enige product dat aan uw zoekopdracht '%2' voldoet"
"Additional fields","Extra velden"
"Cart item edit icon","Winkelwagen item bewerk icoon"
"Cart Item Quantity","Winkelwagen item hoeveelheid"
"Cart item remove icon","Winkelwagen item verwijder icoon"
"Cart item wishlist icon","Winkelwagen item verlanglijst icoon"
"Checkout Progress","Bestelproces"
"Dropdown dialog","Dropdown dialoog"
"Items per page","Items per pagina"
"Name and surname","Naam en achternaam"
"Pause","Pause"
"Play","Play"
"Please log in to continue.","Log in om verder te gaan."
"Only integers greater than or equal to 0 are allowed.","Alleen gehele getallen groter dan of gelijk aan 0 zijn toegestaan."
"Quantity of product added to the cart","Hoeveelheid product toegevoegd aan de winkelwagen"
"Rated %1 out of %2 stars","Beoordeeld met %1 van %2 sterren"
"Reviewing %1 of %2","Beoordeling %1 van %2"
"Skip to main content","Spring naar hoofdinhoud"
"Skip to search","Spring naar zoeken"
"The order was not successful!","De bestelling was niet succesvol!"
