"Payment methods","Betaalmethoden"
"We can't find any results matching the selection.","We kunnen geen resultaten vinden die overeenkomen met de selectie."
"Sort","Sorteren"
"More filters","Meer filters"
"Less filters","Minder filters"
"Recommended products","Het zou nuttig kunnen zijn"
"Cart Subtotal","Subtotaal"
"My Addresses","Mijn adressen"
"My orders","Mijn orders"
"My product Reviews","Mijn productrecensies"
"Order details","Bestel Details"
"The password doesn't match this account. Verify the password and try again.","Het ingevoerde wachtwoord was niet correct. Controleer het wachtwoord en probeer het opnieuw."
"Order success","Bestelling geslaagd"
"Thank you for placing your order","Dank u voor uw bestelling"
"Your order # is: <span>%1</span>.","Uw bestelnummer is: <span>%1</span>."
"Your order # is: %1.","Uw bestelnummer is: %1"
"reviews","recensies"
"Add Review","Beoordeling toevoegen"
"Price - Ascending","Prijs - Oplopend"
"Price - Descending","Prijs - Aflopend"
"Position - Ascending","Positie - Oplopend"
"Save Billing Address","Factuuradres opslaan"
"My account","Mijn rekening"
"Edit address","Adressen bewerken"
"My product Reviews","Mijn productrecensies"
"Order details","Bestelinformatie"
"Please select and accept your Cookies Group","Selecteer en accepteer uw cookie groep"
"You saved your cookie settings!","Uw cookie-instellingen zijn opgeslagen!"
"My Addresses","Mijn adressen"
